x-axis,FFT
Hertz,dBV
+4.0000E+06,-65.405889E+00
+4.2500E+06,-62.392197E+00
+4.5000E+06,-67.596670E+00
+4.7500E+06,-67.043096E+00
+5.0000E+06,-62.137354E+00
+5.2500E+06,-64.719658E+00
+5.5000E+06,-73.842100E+00
+5.7500E+06,-63.907100E+00
+6.0000E+06,-63.474248E+00
+6.2500E+06,-65.386475E+00
+6.5000E+06,-59.689229E+00
+6.7500E+06,-64.432861E+00
+7.0000E+06,-57.687295E+00
+7.2500E+06,-65.616553E+00
+7.5000E+06,-61.469287E+00
+7.7500E+06,-56.262021E+00
+8.0000E+06,-55.134834E+00
+8.2500E+06,-54.402373E+00
+8.5000E+06,-63.260361E+00
+8.7500E+06,-49.695459E+00
+9.0000E+06,-45.847744E+00
+9.2500E+06,-45.864541E+00
+9.5000E+06,-36.664385E+00
+9.7500E+06,-13.809346E+00
+10.0000E+06,-476.416E-03
+10.2500E+06,-13.791768E+00
+10.5000E+06,-38.030986E+00
+10.7500E+06,-48.857939E+00
+11.0000E+06,-47.306475E+00
+11.2500E+06,-51.695654E+00
+11.5000E+06,-58.100127E+00
+11.7500E+06,-63.238174E+00
+12.0000E+06,-69.398018E+00
+12.2500E+06,-68.398232E+00
+12.5000E+06,-61.330811E+00
+12.7500E+06,-76.578701E+00
+13.0000E+06,-65.963896E+00
+13.2500E+06,-66.797861E+00
+13.5000E+06,-59.663740E+00
+13.7500E+06,-66.551709E+00
+14.0000E+06,-71.571084E+00
+14.2500E+06,-61.243721E+00
+14.5000E+06,-60.766475E+00
+14.7500E+06,-69.747861E+00
+15.0000E+06,-67.216553E+00
+15.2500E+06,-67.330127E+00
+15.5000E+06,-69.678135E+00
+15.7500E+06,-68.558818E+00
+16.0000E+06,-65.657939E+00
+16.2500E+06,-65.181201E+00
+16.5000E+06,-72.455830E+00
+16.7500E+06,-69.865811E+00
+17.0000E+06,-67.898760E+00
+17.2500E+06,-69.242393E+00
+17.5000E+06,-73.080615E+00
+17.7500E+06,-71.552842E+00
+18.0000E+06,-62.855420E+00
+18.2500E+06,-67.231826E+00
+18.5000E+06,-67.683877E+00
+18.7500E+06,-68.247314E+00
+19.0000E+06,-63.563486E+00
+19.2500E+06,-68.933760E+00
+19.5000E+06,-81.773389E+00
+19.7500E+06,-75.201279E+00
+20.0000E+06,-67.186865E+00
