x-axis,FFT
Hertz,dBV
-3.0000E+06,
-2.5000E+06,
-2.0000E+06,
-1.5000E+06,
-1.0000E+06,
-500.0E+03,
+0E+00,-54.964600E+00
+500.0E+03,-44.328701E+00
+1.0000E+06,-35.415049E+00
+1.5000E+06,-40.490518E+00
+2.0000E+06,-35.181748E+00
+2.5000E+06,-40.053662E+00
+3.0000E+06,-41.892783E+00
+3.5000E+06,-42.646865E+00
+4.0000E+06,-38.429307E+00
+4.5000E+06,-40.607275E+00
+5.0000E+06,-34.799072E+00
+5.5000E+06,-36.161299E+00
+6.0000E+06,-36.977393E+00
+6.5000E+06,-37.627314E+00
+7.0000E+06,-44.226357E+00
+7.5000E+06,-44.338232E+00
+8.0000E+06,-36.949326E+00
+8.5000E+06,-32.920439E+00
+9.0000E+06,-34.288682E+00
+9.5000E+06,-25.697588E+00
+10.0000E+06,-8.142432E+00
+10.5000E+06,-35.580322E+00
+11.0000E+06,-39.357510E+00
+11.5000E+06,-44.501514E+00
+12.0000E+06,-47.064717E+00
+12.5000E+06,-51.783447E+00
+13.0000E+06,-57.032783E+00
+13.5000E+06,-58.856123E+00
+14.0000E+06,-67.746709E+00
+14.5000E+06,-62.912607E+00
+15.0000E+06,-72.703271E+00
+15.5000E+06,-68.800713E+00
+16.0000E+06,-62.798486E+00
+16.5000E+06,-63.688076E+00
+17.0000E+06,-72.101631E+00
+17.5000E+06,-63.015381E+00
+18.0000E+06,-64.021006E+00
+18.5000E+06,-63.569443E+00
+19.0000E+06,-59.685771E+00
+19.5000E+06,-66.130400E+00
+20.0000E+06,-59.667529E+00
+20.5000E+06,-71.505049E+00
+21.0000E+06,-67.446084E+00
+21.5000E+06,-64.527061E+00
+22.0000E+06,-62.737334E+00
+22.5000E+06,-67.433154E+00
+23.0000E+06,-65.387607E+00
+23.5000E+06,-62.450693E+00
+24.0000E+06,-60.861689E+00
+24.5000E+06,-62.035146E+00
+25.0000E+06,-64.729248E+00
+25.5000E+06,-63.009678E+00
+26.0000E+06,-60.912783E+00
+26.5000E+06,-64.699014E+00
+27.0000E+06,-65.663506E+00
+27.5000E+06,-63.947217E+00
+28.0000E+06,-63.836592E+00
+28.5000E+06,-62.059893E+00
+29.0000E+06,-63.535635E+00
+29.5000E+06,-69.743682E+00
+30.0000E+06,-53.028760E+00
+30.5000E+06,-64.878350E+00
+31.0000E+06,-61.337998E+00
+31.5000E+06,-59.946885E+00
+32.0000E+06,-67.756143E+00
+32.5000E+06,-62.552588E+00
+33.0000E+06,-68.541182E+00
+33.5000E+06,-61.737705E+00
+34.0000E+06,-65.083389E+00
+34.5000E+06,-63.260303E+00
+35.0000E+06,-62.292725E+00
+35.5000E+06,-66.675732E+00
+36.0000E+06,-62.770303E+00
+36.5000E+06,-62.653467E+00
+37.0000E+06,-67.136963E+00
+37.5000E+06,-60.277100E+00
+38.0000E+06,-62.432686E+00
+38.5000E+06,-73.500771E+00
+39.0000E+06,-71.460771E+00
+39.5000E+06,-67.818623E+00
+40.0000E+06,-67.422314E+00
+40.5000E+06,-65.739873E+00
+41.0000E+06,-63.498955E+00
+41.5000E+06,-67.343350E+00
+42.0000E+06,-63.981768E+00
+42.5000E+06,-69.097705E+00
+43.0000E+06,-60.419814E+00
+43.5000E+06,-60.973330E+00
+44.0000E+06,-77.326357E+00
+44.5000E+06,-64.498037E+00
+45.0000E+06,-62.493506E+00
+45.5000E+06,-64.270693E+00
+46.0000E+06,-62.460068E+00
+46.5000E+06,-64.299365E+00
+47.0000E+06,-63.931670E+00
+47.5000E+06,-61.533350E+00
+48.0000E+06,-60.104717E+00
+48.5000E+06,-63.757979E+00
+49.0000E+06,-71.769326E+00
+49.5000E+06,-72.402529E+00
+50.0000E+06,-71.930908E+00
+50.5000E+06,-65.328701E+00
+51.0000E+06,-65.624502E+00
+51.5000E+06,-64.410908E+00
+52.0000E+06,-62.344150E+00
+52.5000E+06,-60.744678E+00
+53.0000E+06,-61.150479E+00
+53.5000E+06,-73.190459E+00
+54.0000E+06,-62.647764E+00
+54.5000E+06,-77.104658E+00
+55.0000E+06,-69.418213E+00
+55.5000E+06,-73.545459E+00
+56.0000E+06,-66.534033E+00
+56.5000E+06,-71.291807E+00
+57.0000E+06,-73.815693E+00
+57.5000E+06,-65.422705E+00
+58.0000E+06,-68.522646E+00
+58.5000E+06,-64.624404E+00
+59.0000E+06,-62.724697E+00
+59.5000E+06,-63.558096E+00
+60.0000E+06,-59.059521E+00
+60.5000E+06,-66.459580E+00
+61.0000E+06,-63.027588E+00
+61.5000E+06,-67.392822E+00
+62.0000E+06,-76.306904E+00
+62.5000E+06,-61.632080E+00
+63.0000E+06,-76.572822E+00
+63.5000E+06,-60.853350E+00
+64.0000E+06,-63.745986E+00
+64.5000E+06,-58.021709E+00
+65.0000E+06,-58.241260E+00
+65.5000E+06,-67.363174E+00
+66.0000E+06,-60.238350E+00
+66.5000E+06,-77.481631E+00
+67.0000E+06,-65.694385E+00
+67.5000E+06,-70.113818E+00
+68.0000E+06,-67.495928E+00
+68.5000E+06,-65.083115E+00
+69.0000E+06,-80.501045E+00
+69.5000E+06,-62.654932E+00
+70.0000E+06,-62.103467E+00
+70.5000E+06,-70.481357E+00
+71.0000E+06,-74.454600E+00
+71.5000E+06,-64.919111E+00
+72.0000E+06,-69.371650E+00
+72.5000E+06,-63.035498E+00
