x-axis,FFT
Hertz,dBV
+0E+00,-77.801514E+00
+250.0E+03,-67.794854E+00
+500.0E+03,-77.450596E+00
+750.0E+03,-71.016045E+00
+1.0000E+06,-72.886846E+00
+1.2500E+06,-70.354346E+00
+1.5000E+06,-65.511650E+00
+1.7500E+06,-70.226143E+00
+2.0000E+06,-79.775264E+00
+2.2500E+06,-70.508818E+00
+2.5000E+06,-71.039014E+00
+2.7500E+06,-76.266162E+00
+3.0000E+06,-64.929287E+00
+3.2500E+06,-76.706182E+00
+3.5000E+06,-64.245752E+00
+3.7500E+06,-71.775049E+00
+4.0000E+06,-67.497334E+00
+4.2500E+06,-72.435342E+00
+4.5000E+06,-47.645283E+00
+4.7500E+06,-21.133604E+00
+5.0000E+06,-14.010791E+00
+5.2500E+06,-24.500322E+00
+5.5000E+06,-52.021787E+00
+5.7500E+06,-86.859385E+00
+6.0000E+06,-72.906279E+00
+6.2500E+06,-72.653076E+00
+6.5000E+06,-71.363584E+00
+6.7500E+06,-72.377881E+00
+7.0000E+06,-70.380186E+00
+7.2500E+06,-80.355342E+00
+7.5000E+06,-75.880908E+00
+7.7500E+06,-64.160908E+00
+8.0000E+06,-74.831436E+00
+8.2500E+06,-72.869189E+00
+8.5000E+06,-63.864072E+00
+8.7500E+06,-66.965869E+00
+9.0000E+06,-72.760244E+00
+9.2500E+06,-80.082705E+00
+9.5000E+06,-67.702314E+00
+9.7500E+06,-72.430498E+00
+10.0000E+06,-69.004248E+00
+10.2500E+06,-73.205947E+00
+10.5000E+06,-70.314951E+00
+10.7500E+06,-84.955537E+00
+11.0000E+06,-66.777002E+00
+11.2500E+06,-71.280127E+00
+11.5000E+06,-67.732373E+00
+11.7500E+06,-65.935889E+00
+12.0000E+06,-65.609326E+00
+12.2500E+06,-68.544795E+00
+12.5000E+06,-75.647217E+00
+12.7500E+06,-76.099619E+00
+13.0000E+06,-66.646553E+00
+13.2500E+06,-78.091885E+00
+13.5000E+06,-74.779326E+00
+13.7500E+06,-74.697510E+00
+14.0000E+06,-63.844717E+00
+14.2500E+06,-75.084443E+00
+14.5000E+06,-70.083076E+00
+14.7500E+06,-68.882744E+00
+15.0000E+06,-66.910596E+00
+15.2500E+06,-65.487959E+00
+15.5000E+06,-67.219307E+00
+15.7500E+06,-71.288936E+00
+16.0000E+06,-80.221553E+00
+16.2500E+06,-70.919092E+00
+16.5000E+06,-76.151592E+00
+16.7500E+06,-64.039307E+00
+17.0000E+06,-84.383994E+00
+17.2500E+06,-69.534131E+00
+17.5000E+06,-68.061475E+00
+17.7500E+06,-69.266006E+00
+18.0000E+06,-69.604092E+00
+18.2500E+06,-71.824912E+00
+18.5000E+06,-71.326475E+00
+18.7500E+06,-66.150635E+00
+19.0000E+06,-66.024385E+00
+19.2500E+06,-67.548076E+00
+19.5000E+06,-67.392529E+00
+19.7500E+06,-80.382061E+00
+20.0000E+06,-65.000439E+00
+20.2500E+06,-67.887314E+00
+20.5000E+06,-67.238779E+00
+20.7500E+06,-71.841436E+00
+21.0000E+06,-73.147979E+00
+21.2500E+06,-85.008936E+00
+21.5000E+06,-72.361475E+00
+21.7500E+06,-74.282764E+00
+22.0000E+06,-80.388076E+00
+22.2500E+06,-77.429424E+00
+22.5000E+06,-64.245264E+00
+22.7500E+06,-82.633994E+00
+23.0000E+06,-70.394443E+00
+23.2500E+06,-87.080010E+00
+23.5000E+06,-67.293447E+00
+23.7500E+06,-67.797119E+00
+24.0000E+06,-66.524775E+00
+24.2500E+06,-70.395225E+00
+24.5000E+06,-64.358525E+00
+24.7500E+06,-65.484346E+00
+25.0000E+06,-67.438721E+00
+25.2500E+06,-66.796670E+00
+25.5000E+06,-65.215596E+00
+25.7500E+06,-65.419365E+00
+26.0000E+06,-66.570811E+00
+26.2500E+06,-70.587061E+00
+26.5000E+06,-73.514736E+00
+26.7500E+06,-70.871553E+00
+27.0000E+06,-65.200283E+00
+27.2500E+06,-64.210537E+00
+27.5000E+06,-66.957275E+00
+27.7500E+06,-63.613369E+00
+28.0000E+06,-67.201416E+00
+28.2500E+06,-68.414658E+00
+28.5000E+06,-68.832002E+00
+28.7500E+06,-74.046045E+00
+29.0000E+06,-67.591826E+00
+29.2500E+06,-74.405830E+00
+29.5000E+06,-67.895342E+00
+29.7500E+06,-72.352842E+00
+30.0000E+06,-64.943213E+00
+30.2500E+06,-65.715498E+00
+30.5000E+06,-71.126182E+00
+30.7500E+06,-74.192119E+00
+31.0000E+06,-77.263096E+00
+31.2500E+06,-67.301025E+00
+31.5000E+06,-70.817373E+00
+31.7500E+06,-75.932354E+00
+32.0000E+06,-75.813994E+00
+32.2500E+06,-67.754053E+00
