x-axis,FFT
Hertz,dBV
+0E+00,+6.614990E+00
+250.0E+03,+4.951455E+00
+500.0E+03,-17.549619E+00
+750.0E+03,-18.437490E+00
+1.0000E+06,-28.592119E+00
+1.2500E+06,-18.364404E+00
+1.5000E+06,-10.277822E+00
+1.7500E+06,-17.073936E+00
+2.0000E+06,-41.834443E+00
+2.2500E+06,-22.738896E+00
+2.5000E+06,-16.103760E+00
+2.7500E+06,-28.063467E+00
+3.0000E+06,-29.494990E+00
+3.2500E+06,-31.345205E+00
+3.5000E+06,-51.781631E+00
+3.7500E+06,-44.919873E+00
+4.0000E+06,-43.377295E+00
+4.2500E+06,-63.216475E+00
+4.5000E+06,-54.710928E+00
+4.7500E+06,-55.596123E+00
+5.0000E+06,-54.757861E+00
+5.2500E+06,-46.182900E+00
+5.5000E+06,-45.866846E+00
+5.7500E+06,-51.536709E+00
+6.0000E+06,-46.321748E+00
+6.2500E+06,-50.016357E+00
+6.5000E+06,-53.723975E+00
+6.7500E+06,-60.720713E+00
+7.0000E+06,-52.203623E+00
+7.2500E+06,-48.496436E+00
+7.5000E+06,-48.627393E+00
+7.7500E+06,-54.221514E+00
+8.0000E+06,-49.622979E+00
+8.2500E+06,-47.449502E+00
+8.5000E+06,-51.035928E+00
+8.7500E+06,-47.973096E+00
+9.0000E+06,-64.789170E+00
+9.2500E+06,-51.293057E+00
+9.5000E+06,-49.650127E+00
+9.7500E+06,-54.700146E+00
+10.0000E+06,-53.881006E+00
+10.2500E+06,-50.647627E+00
+10.5000E+06,-60.387275E+00
+10.7500E+06,-79.825400E+00
+11.0000E+06,-75.310811E+00
+11.2500E+06,-50.016357E+00
+11.5000E+06,-50.002646E+00
+11.7500E+06,-46.264092E+00
+12.0000E+06,-63.368252E+00
+12.2500E+06,-53.920127E+00
+12.5000E+06,-59.911865E+00
+12.7500E+06,-43.772451E+00
+13.0000E+06,-55.300205E+00
+13.2500E+06,-50.889951E+00
+13.5000E+06,-45.323877E+00
+13.7500E+06,-57.004639E+00
+14.0000E+06,-54.560596E+00
+14.2500E+06,-56.073584E+00
+14.5000E+06,-52.114346E+00
+14.7500E+06,-50.428447E+00
+15.0000E+06,-57.182178E+00
+15.2500E+06,-56.186865E+00
+15.5000E+06,-49.655811E+00
+15.7500E+06,-47.102705E+00
+16.0000E+06,-46.784189E+00
+16.2500E+06,-56.889307E+00
+16.5000E+06,-52.832881E+00
+16.7500E+06,-52.851025E+00
+17.0000E+06,-68.141846E+00
+17.2500E+06,-48.242627E+00
+17.5000E+06,-55.396436E+00
+17.7500E+06,-52.620127E+00
+18.0000E+06,-51.927959E+00
+18.2500E+06,-44.574717E+00
+18.5000E+06,-48.767139E+00
+18.7500E+06,-56.553955E+00
+19.0000E+06,-46.738682E+00
+19.2500E+06,-45.140244E+00
+19.5000E+06,-55.114697E+00
+19.7500E+06,-53.157568E+00
+20.0000E+06,-60.444092E+00
+20.2500E+06,-46.092412E+00
+20.5000E+06,-55.959678E+00
+20.7500E+06,-78.283857E+00
+21.0000E+06,-55.545107E+00
+21.2500E+06,-47.392432E+00
+21.5000E+06,-55.465381E+00
+21.7500E+06,-45.211943E+00
+22.0000E+06,-62.306064E+00
+22.2500E+06,-51.257861E+00
+22.5000E+06,-56.624658E+00
+22.7500E+06,-60.015889E+00
+23.0000E+06,-52.055400E+00
+23.2500E+06,-48.355107E+00
+23.5000E+06,-51.280693E+00
+23.7500E+06,-54.864404E+00
+24.0000E+06,-47.965830E+00
+24.2500E+06,-48.977764E+00
+24.5000E+06,-51.283936E+00
+24.7500E+06,-49.359854E+00
+25.0000E+06,-52.189697E+00
+25.2500E+06,-56.995791E+00
+25.5000E+06,-52.674248E+00
+25.7500E+06,-75.025928E+00
+26.0000E+06,-52.185986E+00
+26.2500E+06,-58.796533E+00
+26.5000E+06,-51.587803E+00
+26.7500E+06,-49.015264E+00
+27.0000E+06,-48.836221E+00
+27.2500E+06,-55.118486E+00
+27.5000E+06,-58.244189E+00
+27.7500E+06,-47.761494E+00
+28.0000E+06,-50.368389E+00
+28.2500E+06,-51.431123E+00
+28.5000E+06,-49.212568E+00
