x-axis,FFT
Hertz,dBV
+0E+00,-36.293701E+00
+250.0E+03,-34.126201E+00
+500.0E+03,-32.033760E+00
+750.0E+03,-31.467510E+00
+1.0000E+06,-30.975205E+00
+1.2500E+06,-31.197705E+00
+1.5000E+06,-31.399990E+00
+1.7500E+06,-31.478740E+00
+2.0000E+06,-31.552803E+00
+2.2500E+06,-31.606553E+00
+2.5000E+06,-31.660596E+00
+2.7500E+06,-31.715596E+00
+3.0000E+06,-31.772002E+00
+3.2500E+06,-31.832002E+00
+3.5000E+06,-31.886260E+00
+3.7500E+06,-31.928760E+00
+4.0000E+06,-31.975479E+00
+4.2500E+06,-32.029229E+00
+4.5000E+06,-32.072959E+00
+4.7500E+06,-32.102959E+00
+5.0000E+06,-32.135889E+00
+5.2500E+06,-32.172139E+00
+5.5000E+06,-32.186475E+00
+5.7500E+06,-32.180225E+00
+6.0000E+06,-32.177490E+00
+6.2500E+06,-32.177490E+00
+6.5000E+06,-32.089131E+00
+6.7500E+06,-31.944131E+00
+7.0000E+06,-31.795850E+00
+7.2500E+06,-31.645850E+00
+7.5000E+06,-31.309521E+00
+7.7500E+06,-30.894521E+00
+8.0000E+06,-30.460771E+00
+8.2500E+06,-30.020771E+00
+8.5000E+06,-28.861592E+00
+8.7500E+06,-27.519092E+00
+9.0000E+06,-25.267451E+00
+9.2500E+06,-22.847451E+00
+9.5000E+06,-21.537393E+00
+9.7500E+06,-20.363643E+00
+10.0000E+06,-20.611377E+00
+10.2500E+06,-20.953877E+00
+10.5000E+06,-22.790166E+00
+10.7500E+06,-24.694033E+00
+11.0000E+06,-27.957783E+00
+11.2500E+06,-31.134912E+00
+11.5000E+06,-33.289912E+00
+11.7500E+06,-35.276475E+00
+12.0000E+06,-36.083975E+00
+12.2500E+06,-36.918115E+00
+12.5000E+06,-37.880615E+00
+12.7500E+06,-38.722256E+00
+13.0000E+06,-39.132256E+00
+13.2500E+06,-39.580439E+00
+13.5000E+06,-40.134189E+00
+13.7500E+06,-40.616455E+00
+14.0000E+06,-40.941455E+00
+14.2500E+06,-41.303291E+00
+14.5000E+06,-41.730791E+00
+14.7500E+06,-42.121729E+00
+15.0000E+06,-42.459229E+00
+15.2500E+06,-42.848271E+00
+15.5000E+06,-43.299521E+00
+15.7500E+06,-43.735771E+00
+16.0000E+06,-44.157021E+00
+16.2500E+06,-44.630908E+00
+16.5000E+06,-45.148408E+00
+16.7500E+06,-45.702275E+00
+17.0000E+06,-46.281025E+00
+17.2500E+06,-46.935850E+00
+17.5000E+06,-47.633350E+00
+17.7500E+06,-48.522490E+00
+18.0000E+06,-49.498740E+00
+18.2500E+06,-50.832080E+00
+18.5000E+06,-52.294580E+00
+18.7500E+06,-56.118408E+00
+19.0000E+06,-60.603408E+00
+19.2500E+06,-54.334170E+00
+19.5000E+06,-45.832920E+00
+19.7500E+06,-42.695420E+00
+20.0000E+06,-40.324170E+00
+20.2500E+06,-40.255303E+00
+20.5000E+06,-40.381553E+00
+20.7500E+06,-42.135303E+00
+21.0000E+06,-43.943896E+00
+21.2500E+06,-45.900146E+00
+21.5000E+06,-47.785303E+00
+21.7500E+06,-48.604053E+00
+22.0000E+06,-49.424170E+00
+22.2500E+06,-50.255420E+00
+22.5000E+06,-51.064014E+00
+22.7500E+06,-51.750264E+00
+23.0000E+06,-52.437783E+00
+23.2500E+06,-53.130283E+00
+23.5000E+06,-53.759346E+00
+23.7500E+06,-54.198096E+00
+24.0000E+06,-54.573018E+00
+24.2500E+06,-54.796768E+00
+24.5000E+06,-54.951768E+00
+24.7500E+06,-54.975518E+00
+25.0000E+06,-54.945068E+00
+25.2500E+06,-54.830068E+00
+25.5000E+06,-54.660381E+00
+25.7500E+06,-54.420381E+00
+26.0000E+06,-54.205811E+00
+26.2500E+06,-54.018311E+00
+26.5000E+06,-53.630264E+00
+26.7500E+06,-53.065264E+00
+27.0000E+06,-52.430166E+00
+27.2500E+06,-51.743916E+00
+27.5000E+06,-50.770947E+00
+27.7500E+06,-49.625947E+00
+28.0000E+06,-48.530498E+00
+28.2500E+06,-47.459248E+00
+28.5000E+06,-45.643193E+00
+28.7500E+06,-43.535693E+00
+29.0000E+06,-40.553467E+00
+29.2500E+06,-37.303467E+00
+29.5000E+06,-35.367686E+00
+29.7500E+06,-33.735186E+00
+30.0000E+06,-33.593701E+00
+30.2500E+06,-33.696201E+00
+30.5000E+06,-35.402764E+00
+30.7500E+06,-37.275264E+00
+31.0000E+06,-40.582217E+00
+31.2500E+06,-43.959717E+00
+31.5000E+06,-45.898467E+00
+31.7500E+06,-47.809268E+00
+32.0000E+06,-49.151768E+00
+32.2500E+06,-50.481260E+00
+32.5000E+06,-51.685010E+00
+32.7500E+06,-52.812646E+00
+33.0000E+06,-53.475146E+00
+33.2500E+06,-54.192959E+00
+33.5000E+06,-55.150459E+00
+33.7500E+06,-56.130518E+00
+34.0000E+06,-57.184268E+00
+34.2500E+06,-58.244697E+00
+34.5000E+06,-59.322197E+00
+34.7500E+06,-60.166729E+00
+35.0000E+06,-60.534229E+00
+35.2500E+06,-61.057354E+00
+35.5000E+06,-61.839854E+00
+35.7500E+06,-62.647666E+00
+36.0000E+06,-63.490166E+00
+36.2500E+06,-64.251221E+00
+36.5000E+06,-64.919971E+00
+36.7500E+06,-65.349600E+00
+37.0000E+06,-65.554600E+00
+37.2500E+06,-65.623896E+00
+37.5000E+06,-65.587646E+00
+37.7500E+06,-65.852275E+00
+38.0000E+06,-66.309775E+00
