x-axis,FFT
Hertz,dBV
+0E+00,-66.391357E+00
+15.65E+03,-91.388116E+00
+31.30E+03,-98.826209E+00
+46.95E+03,-92.924994E+00
+62.60E+03,-78.669567E+00
+78.25E+03,-93.386361E+00
+93.90E+03,-93.606788E+00
+109.55E+03,-84.467269E+00
+125.20E+03,-92.394259E+00
+140.85E+03,-104.336347E+00
+156.50E+03,-95.297937E+00
+172.15E+03,-91.191372E+00
+187.80E+03,-98.902647E+00
+203.45E+03,-94.512728E+00
+219.10E+03,-89.507862E+00
+234.75E+03,-94.684290E+00
+250.40E+03,-96.956884E+00
+266.05E+03,-94.402179E+00
+281.70E+03,-98.254141E+00
+297.35E+03,-87.800902E+00
+313.00E+03,-102.319789E+00
+328.65E+03,-86.979115E+00
+344.30E+03,-98.415736E+00
+359.95E+03,-99.148556E+00
+375.60E+03,-104.359169E+00
+391.25E+03,-53.310948E+00
+406.90E+03,-87.061352E+00
+422.55E+03,-96.984535E+00
+438.20E+03,-102.550364E+00
+453.85E+03,-75.317836E+00
+469.50E+03,-102.963063E+00
+485.15E+03,-100.052802E+00
+500.80E+03,-102.712550E+00
+516.45E+03,-100.370205E+00
+532.10E+03,-103.563837E+00
+547.75E+03,-89.970917E+00
+563.40E+03,-93.828140E+00
+579.05E+03,-98.638624E+00
+594.70E+03,-91.775443E+00
+610.35E+03,-91.137219E+00
+626.00E+03,-100.673083E+00
+641.65E+03,-95.456441E+00
+657.30E+03,-93.363645E+00
+672.95E+03,-88.599671E+00
+688.60E+03,-92.174008E+00
+704.25E+03,-100.207941E+00
+719.90E+03,-94.631967E+00
+735.55E+03,-97.893732E+00
+751.20E+03,-94.491493E+00
+766.85E+03,-95.117169E+00
+782.50E+03,-62.225790E+00
+798.15E+03,-111.684556E+00
+813.80E+03,-95.770156E+00
+829.45E+03,-99.344750E+00
+845.10E+03,-73.786207E+00
+860.75E+03,-94.929774E+00
+876.40E+03,-92.009909E+00
+892.05E+03,-86.401360E+00
+907.70E+03,-92.021312E+00
+923.35E+03,-105.553652E+00
+939.00E+03,-93.807967E+00
+954.65E+03,-94.937410E+00
+970.30E+03,-93.121627E+00
+985.95E+03,-95.265842E+00
+1.00160E+06,-97.837664E+00
+1.01725E+06,-98.113253E+00
+1.03290E+06,-94.353397E+00
+1.04855E+06,-99.777705E+00
+1.06420E+06,-98.454286E+00
+1.07985E+06,-92.355281E+00
+1.09550E+06,-94.248765E+00
+1.11115E+06,-101.973613E+00
+1.12680E+06,-96.382098E+00
+1.14245E+06,-89.392376E+00
+1.15810E+06,-91.103752E+00
+1.17375E+06,-81.771662E+00
+1.18940E+06,-96.288155E+00
+1.20505E+06,-90.641032E+00
+1.22070E+06,-95.924450E+00
+1.23635E+06,-51.476376E+00
+1.25200E+06,-92.991829E+00
+1.26765E+06,-96.715338E+00
+1.28330E+06,-94.288896E+00
+1.29895E+06,-84.881898E+00
+1.31460E+06,-98.195347E+00
+1.33025E+06,-97.084166E+00
+1.34590E+06,-91.464492E+00
+1.36155E+06,-88.907274E+00
+1.37720E+06,-100.535565E+00
+1.39285E+06,-94.474724E+00
+1.40850E+06,-92.092511E+00
+1.42415E+06,-91.066392E+00
+1.43980E+06,-94.883377E+00
+1.45545E+06,-104.213496E+00
+1.47110E+06,-96.924047E+00
+1.48675E+06,-94.964504E+00
+1.50240E+06,-81.605101E+00
+1.51805E+06,-89.094576E+00
+1.53370E+06,-96.626546E+00
+1.54935E+06,-93.295792E+00
+1.56500E+06,-62.925384E+00
+1.58065E+06,-90.628797E+00
+1.59630E+06,-96.753765E+00
+1.61195E+06,-99.762381E+00
+1.62760E+06,-33.101850E+00
+1.64325E+06,-97.882936E+00
+1.65890E+06,-98.011792E+00
+1.67455E+06,-108.721478E+00
+1.69020E+06,-72.156584E+00
+1.70585E+06,-94.116642E+00
+1.72150E+06,-90.768970E+00
+1.73715E+06,-88.256207E+00
+1.75280E+06,-97.768024E+00
+1.76845E+06,-91.673128E+00
+1.78410E+06,-100.766494E+00
+1.79975E+06,-90.776670E+00
+1.81540E+06,-99.806776E+00
+1.83105E+06,-92.157708E+00
+1.84670E+06,-98.752872E+00
+1.86235E+06,-96.529627E+00
+1.87800E+06,-92.632197E+00
+1.89365E+06,-95.324940E+00
+1.90930E+06,-94.473813E+00
+1.92495E+06,-94.115240E+00
+1.94060E+06,-98.309802E+00
+1.95625E+06,-90.389760E+00
+1.97190E+06,-98.804746E+00
+1.98755E+06,-94.561999E+00
+2.00320E+06,-88.768218E+00
+2.01885E+06,-54.817190E+00
+2.03450E+06,-92.634445E+00
+2.05015E+06,-91.385346E+00
+2.06580E+06,-90.259996E+00
+2.08145E+06,-78.200986E+00
+2.09710E+06,-95.070243E+00
+2.11275E+06,-105.831975E+00
+2.12840E+06,-90.641723E+00
+2.14405E+06,-94.738893E+00
+2.15970E+06,-97.176789E+00
+2.17535E+06,-94.442317E+00
+2.19100E+06,-94.854663E+00
+2.20665E+06,-95.619597E+00
+2.22230E+06,-94.070950E+00
+2.23795E+06,-89.233920E+00
+2.25360E+06,-86.453117E+00
+2.26925E+06,-91.479890E+00
+2.28490E+06,-90.600763E+00
+2.30055E+06,-90.988983E+00
+2.31620E+06,-87.468055E+00
+2.33185E+06,-87.475552E+00
+2.34750E+06,-83.287313E+00
+2.36315E+06,-90.199649E+00
+2.37880E+06,-102.421652E+00
+2.39445E+06,-97.411181E+00
+2.41010E+06,-54.003571E+00
+2.42575E+06,-94.002698E+00
+2.44140E+06,-91.020844E+00
+2.45705E+06,-94.059780E+00
+2.47270E+06,-47.010866E+00
+2.48835E+06,-104.459877E+00
+2.50400E+06,-92.484688E+00
+2.51965E+06,-96.253025E+00
+2.53530E+06,-80.091195E+00
+2.55095E+06,-88.454399E+00
+2.56660E+06,-89.648367E+00
+2.58225E+06,-96.279686E+00
+2.59790E+06,-93.507613E+00
+2.61355E+06,-94.880895E+00
+2.62920E+06,-93.181526E+00
+2.64485E+06,-94.573187E+00
+2.66050E+06,-88.693967E+00
+2.67615E+06,-93.386733E+00
+2.69180E+06,-92.471187E+00
+2.70745E+06,-87.418294E+00
+2.72310E+06,-90.447412E+00
+2.73875E+06,-88.438167E+00
+2.75440E+06,-91.764058E+00
+2.77005E+06,-97.047699E+00
+2.78570E+06,-96.532414E+00
+2.80135E+06,-74.368606E+00
+2.81700E+06,-92.015964E+00
+2.83265E+06,-93.316546E+00
+2.84830E+06,-93.705220E+00
+2.86395E+06,-57.254757E+00
+2.87960E+06,-95.380492E+00
+2.89525E+06,-99.496339E+00
+2.91090E+06,-96.712606E+00
+2.92655E+06,-92.453305E+00
+2.94220E+06,-91.355282E+00
+2.95785E+06,-96.187691E+00
+2.97350E+06,-96.806064E+00
+2.98915E+06,-94.651734E+00
+3.00480E+06,-90.951219E+00
+3.02045E+06,-86.794559E+00
+3.03610E+06,-94.001959E+00
+3.05175E+06,-89.816576E+00
+3.06740E+06,-88.737082E+00
+3.08305E+06,-91.113664E+00
+3.09870E+06,-99.906927E+00
+3.11435E+06,-96.095632E+00
+3.13000E+06,-87.212636E+00
+3.14565E+06,-93.489483E+00
+3.16130E+06,-93.922077E+00
+3.17695E+06,-97.929856E+00
+3.19260E+06,-88.509219E+00
+3.20825E+06,-95.551291E+00
+3.22390E+06,-91.716267E+00
+3.23955E+06,-100.707316E+00
+3.25520E+06,-57.003228E+00
+3.27085E+06,-95.207074E+00
+3.28650E+06,-92.578531E+00
+3.30215E+06,-101.729100E+00
+3.31780E+06,-86.546792E+00
+3.33345E+06,-93.609581E+00
+3.34910E+06,-94.659859E+00
+3.36475E+06,-95.487092E+00
+3.38040E+06,-100.948169E+00
+3.39605E+06,-104.066271E+00
+3.41170E+06,-91.961627E+00
+3.42735E+06,-90.661275E+00
+3.44300E+06,-96.327892E+00
+3.45865E+06,-90.356697E+00
+3.47430E+06,-90.851861E+00
+3.48995E+06,-99.255786E+00
+3.50560E+06,-93.435371E+00
+3.52125E+06,-94.146748E+00
+3.53690E+06,-93.716780E+00
+3.55255E+06,-86.587942E+00
+3.56820E+06,-90.752947E+00
+3.58385E+06,-88.534469E+00
+3.59950E+06,-92.388943E+00
+3.61515E+06,-95.048732E+00
+3.63080E+06,-97.484878E+00
+3.64645E+06,-53.584171E+00
+3.66210E+06,-93.939357E+00
+3.67775E+06,-94.443678E+00
+3.69340E+06,-97.202423E+00
+3.70905E+06,-76.649858E+00
+3.72470E+06,-94.117154E+00
+3.74035E+06,-90.297352E+00
+3.75600E+06,-92.207744E+00
+3.77165E+06,-94.622403E+00
+3.78730E+06,-94.400291E+00
+3.80295E+06,-99.383932E+00
+3.81860E+06,-90.945032E+00
+3.83425E+06,-96.032339E+00
+3.84990E+06,-89.724097E+00
+3.86555E+06,-88.819226E+00
+3.88120E+06,-94.145758E+00
+3.89685E+06,-99.853791E+00
+3.91250E+06,-94.181221E+00
+3.92815E+06,-91.821855E+00
+3.94380E+06,-96.761538E+00
+3.95945E+06,-95.737887E+00
+3.97510E+06,-94.177988E+00
+3.99075E+06,-93.553109E+00
